Issues found: 489
Row 93: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 94: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 95: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 96: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 97: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 98: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 99: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 100: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 101: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 102: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 103: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 104: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 105: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 106: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 107: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 108: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 109: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 110: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 111: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 112: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 113: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 114: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 115: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 116: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 117: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 118: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 119: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 120: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 121: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 122: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 123: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 124: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 125: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 126: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 127: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 128: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 129: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 130: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 131: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 132: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 133: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 134: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 135: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 136: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 137: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 138: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 139: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 140: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 141: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 142: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 143: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 144: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 145: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 146: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 147: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 148: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 149: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 150: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 151: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 152: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 153: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 154: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 155: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 156: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 157: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 158: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 159: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 160: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 161: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 162: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 163: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 164: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 165: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 166: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 167: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 168: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 169: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 170: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 171: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 172: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 173: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 174: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 175: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 176: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 177: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 178: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 179: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 180: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 181: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 182: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
